ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath,MaxScore,NormalizedScore
1058137,61864,Trumpet,Sight-Reading,"Musicality, Tempo, & Style",4,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,0.4
1076287,61888,Alto Saxophone,Lyrical Etude,Tone Quality,8,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,20.0,0.4
1076288,61888,Alto Saxophone,Lyrical Etude,Note Accuracy,10,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,10.0,1.0
1076289,61888,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,8,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,10.0,0.8
1076290,61888,Alto Saxophone,Lyrical Etude,"Musicality, Tempo, & Style",6,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,20.0,0.3
1076291,61888,Alto Saxophone,Technical Etude,Tone Quality,8,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,20.0,0.4
1076292,61888,Alto Saxophone,Technical Etude,Note Accuracy,10,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,10.0,1.0
1076293,61888,Alto Saxophone,Technical Etude,Rhythmic Accuracy,9,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,10.0,0.9
1076294,61888,Alto Saxophone,Technical Etude,"Musicality, Tempo, & Style",7,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,20.0,0.35
1076295,61888,Alto Saxophone,Chromatic Scale,Chromatic Scale,11,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.7333333333333333
1076296,61888,Alto Saxophone,Major Scales,G,8,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.5333333333333333
1076297,61888,Alto Saxophone,Major Scales,C,4,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.26666666666666666
1076298,61888,Alto Saxophone,Major Scales,F,7,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.4666666666666667
1076299,61888,Alto Saxophone,Major Scales,Bb,4,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.26666666666666666
1076300,61888,Alto Saxophone,Major Scales,Eb,9,~/AudioFiles/2016-2017/AllStateAuditions/61888.mp3,15.0,0.6
